5x5 
ls           K            Kp        Ku
2800         1.9e+12      3.8e+12   2.1e+12
2600         1.9e+12      3.8e+12   2.1e+12
2425         1.4e+12      2.6e+13   2.0e+12
2412         1.2e+14      2.3e+14   8.5e+12
2406         9.0e+14      1.8e+15   3.4e+13     
2403         7.1e+15      1.4e+16   1.3e+14 
2401         1.9e+17      3.8e+17   1.2e+15
2400.1       1.5e6+20     3.0e+20   1.2e+17
2400.01      5.3e+22      1.1e+23   1.2e+19

5x5 stab
 ls             K         Kp         Ku
 2800         1.2e+12     3.8e+12    2.1e+12
 2600         3.0e+12     3.8e+12    2.1e+12
 2425         1.2e+13     3.8e+12    2.0e+12
 2412         5.1e+13     3.8e+12    8.5e+12
 2406         2.0e+14     3.8e+12    3.4e+13 
 2403         8.1e+14     3.8e+12    1.3e+14 
 2401         7.3e+15     3.8e+12    1.2e+15
 2400.1       7.3e+17     3.8e+12    1.2e+17
 2400.01      7.3e+19     3.8e+12    1.2e+19



5x5 stab  Prec Ku
 ls             K         Kp         Ku
 2800         1.2e+12     3.8e+12    2.1e+12
 2600         3.0e+12     3.8e+12    2.1e+12
 2425         1.2e+13     3.8e+12    2.0e+12
 2412         5.1e+13     3.8e+12    8.5e+12
 2406         2.0e+14     3.8e+12    3.4e+13 
 2403         8.1e+14     3.8e+12    1.3e+14 
 2401         7.3e+15     3.8e+12    1.2e+15
 2400.1       7.3e+17     3.8e+12    1.2e+17
 2400.01      7.3e+19     3.8e+12    1.2e+19
