# ts fsi iter_u iter_p
0 0.08 0.15 0.13875
1 0.09 0.126444 0.17
2 0.09 0.124778 0.172222
3 0.09 0.131111 0.173333
4 0.08 0.146875 0.1875
5 0.08 0.14975 0.19
6 0.08 0.15225 0.195
7 0.08 0.15175 0.195
8 0.08 0.164375 0.195
9 0.08 0.164 0.19625
10 0.08 0.1715 0.2
11 0.08 0.19025 0.2
12 0.08 0.179125 0.20125
13 0.08 0.19275 0.2025
14 0.08 0.201125 0.20375
15 0.08 0.195125 0.205
16 0.08 0.19775 0.2075
17 0.08 0.20825 0.2075
18 0.08 0.217375 0.2075
19 0.08 0.24675 0.20875
20 0.08 0.299875 0.21
21 0.08 0.2705 0.20875
22 0.08 0.268 0.21
23 0.08 0.266625 0.2125
24 0.08 0.278625 0.2125
25 0.08 0.283125 0.2125
26 0.08 0.3135 0.2125
27 0.08 0.31525 0.21625
28 0.08 0.32925 0.21625
29 0.08 0.37025 0.21625
30 0.08 0.856125 0.22
31 0.08 0.417875 0.22125
32 0.08 0.40575 0.22125
33 0.08 0.495625 0.2225
34 0.15 0.901733 0.176667
35 0.22 0.927864 0.147273
36 0.12 0.857667 0.191667
37 0.08 0.170125 0.22625
38 0.08 0.423 0.19625
39 0.08 0.14575 0.1975
40 0.08 0.1385 0.1975
41 0.08 0.13825 0.20125
42 0.08 0.137375 0.2025
43 0.08 0.13725 0.205
44 0.08 0.137125 0.20625
45 0.08 0.136875 0.20625
46 0.08 0.136375 0.2075
47 0.08 0.136 0.2075
48 0.08 0.135625 0.21
49 0.08 0.135375 0.21
50 0.08 0.135 0.21
51 0.08 0.13475 0.21
52 0.08 0.1345 0.21
53 0.08 0.134125 0.20875
54 0.08 0.134125 0.21
55 0.08 0.134 0.21125
56 0.08 0.13375 0.21125
57 0.08 0.133625 0.21125
58 0.08 0.13325 0.21125
59 0.08 0.13325 0.2125
60 0.08 0.13325 0.2125
61 0.08 0.133125 0.21375
62 0.08 0.132875 0.21375
63 0.08 0.132875 0.215
64 0.08 0.132375 0.215
65 0.08 0.132375 0.215
66 0.08 0.132375 0.215
67 0.08 0.13225 0.215
68 0.08 0.132 0.21625
69 0.08 0.13175 0.2175
70 0.08 0.13175 0.21875
71 0.08 0.13175 0.21875
72 0.08 0.131625 0.21875
73 0.08 0.131625 0.22
74 0.08 0.1315 0.22
75 0.08 0.1315 0.22
76 0.08 0.1315 0.22
77 0.08 0.1315 0.22
78 0.08 0.1315 0.22
79 0.08 0.1315 0.22
