# ts fsi iter_u iter_p
0 0.43 0.966535 0.15814
1 0.09 0.888889 0.535556
2 0.09 0.888889 0.535556
3 0.1 0.9 0.496
4 0.11 0.909091 0.46
5 0.09 0.888889 0.533333
6 0.09 0.888889 0.533333
7 0.14 0.871071 0.457143
8 0.11 0.909091 0.443636
9 0.09 0.679778 0.522222
10 0.09 0.888889 0.513333
11 0.09 0.774778 0.508889
12 0.09 0.716778 0.513333
13 0.09 0.637222 0.515556
14 0.09 0.712111 0.515556
15 0.09 0.616444 0.517778
16 0.09 0.648222 0.52
17 0.09 0.595778 0.522222
18 0.09 0.504444 0.508889
19 0.09 0.626889 0.52
20 0.1 0.9 0.55
21 0.09 0.888889 0.582222
22 0.09 0.888889 0.562222
23 0.11 0.909091 0.492727
24 0.09 0.888889 0.573333
25 0.09 0.888889 0.557778
26 0.09 0.888889 0.546667
27 0.09 0.699333 0.548889
28 0.09 0.581 0.504444
29 0.08 0.569125 0.5225
30 0.24 0.958333 0.32
31 0.12 0.916667 0.451667
32 0.09 0.888889 0.54
33 0.09 0.888889 0.542222
34 0.27 0.962963 0.46
35 0.31 0.967742 0.452258
36 0.84 0.988095 0.289048
37 0.21 0.952381 0.389524
38 0.08 0.7445 0.505
39 0.08 0.466125 0.4925
40 0.08 0.492375 0.5
41 0.08 0.4695 0.5025
42 0.08 0.495875 0.5025
43 0.08 0.4785 0.505
44 0.08 0.491125 0.505
45 0.08 0.470375 0.505
46 0.08 0.47275 0.5075
47 0.08 0.493625 0.51
48 0.08 0.467 0.51
49 0.08 0.481 0.5125
50 0.08 0.471125 0.515
51 0.08 0.4675 0.5175
52 0.08 0.46875 0.5225
53 0.08 0.46825 0.5225
54 0.08 0.482375 0.5225
55 0.08 0.49525 0.5225
56 0.08 0.47 0.525
57 0.08 0.49025 0.5275
58 0.08 0.47825 0.5275
59 0.08 0.477 0.53
60 0.08 0.468875 0.5325
61 0.08 0.480625 0.5375
62 0.08 0.479 0.54
63 0.08 0.461375 0.54
64 0.08 0.4705 0.54
65 0.08 0.47425 0.54
66 0.08 0.49325 0.54
67 0.08 0.480875 0.5425
68 0.08 0.492875 0.54
69 0.08 0.49075 0.54
70 0.08 0.479 0.545
71 0.08 0.4925 0.545
72 0.08 0.476125 0.545
73 0.08 0.4815 0.545
74 0.08 0.488375 0.55
75 0.08 0.47575 0.55
76 0.08 0.473 0.5475
77 0.08 0.470375 0.5475
78 0.08 0.480375 0.5475
79 0.08 0.48575 0.55
