# ts fsi iter_u iter_p
0 0.08 0.0515 0.225
1 0.09 0.044 0.263333
2 0.09 0.042 0.264444
3 0.09 0.0412222 0.265556
4 0.09 0.0411111 0.265556
5 0.09 0.0405556 0.266667
6 0.09 0.0428889 0.265556
7 0.09 0.0428889 0.298889
8 0.09 0.0426667 0.254444
9 0.09 0.0432222 0.258889
10 0.09 0.0435556 0.255556
11 0.08 0.049 0.2675
12 0.08 0.049125 0.27
13 0.08 0.049 0.27125
14 0.08 0.049 0.2725
15 0.08 0.04875 0.2725
16 0.08 0.0485 0.2725
17 0.08 0.048625 0.27375
18 0.08 0.048625 0.2675
19 0.08 0.048875 0.2725
20 0.09 0.0447778 0.292222
21 0.09 0.0442222 0.288889
22 0.08 0.049375 0.29375
23 0.08 0.0495 0.29375
24 0.08 0.049375 0.2975
25 0.08 0.0495 0.29
26 0.09 0.0441111 0.273333
27 0.09 0.044 0.273333
28 0.08 0.049375 0.2625
29 0.08 0.04925 0.25875
30 0.08 0.0515 0.2875
31 0.08 0.048875 0.28
32 0.08 0.048875 0.2775
33 0.08 0.049 0.27875
34 0.09 0.0496667 0.311111
35 0.08 0.053625 0.3475
36 0.08 0.05325 0.3475
37 0.08 0.051 0.3125
38 0.08 0.048625 0.24875
39 0.08 0.0475 0.24625
40 0.08 0.04675 0.24625
41 0.08 0.046625 0.24625
42 0.08 0.046625 0.2475
43 0.08 0.04675 0.25125
44 0.08 0.04675 0.25125
45 0.08 0.04675 0.25125
46 0.08 0.04675 0.2525
47 0.08 0.04675 0.2525
48 0.08 0.04675 0.2525
49 0.08 0.04675 0.2525
50 0.08 0.04675 0.255
51 0.08 0.04675 0.25625
52 0.08 0.04675 0.25625
53 0.08 0.04675 0.2575
54 0.08 0.04675 0.2575
55 0.08 0.04675 0.26
56 0.08 0.04675 0.26
57 0.08 0.04675 0.26125
58 0.08 0.04675 0.26125
59 0.08 0.04675 0.26375
60 0.08 0.04675 0.265
61 0.08 0.04675 0.265
62 0.08 0.04675 0.2675
63 0.08 0.04675 0.26875
64 0.08 0.04675 0.27
65 0.08 0.04675 0.27
66 0.08 0.04675 0.26875
67 0.08 0.04675 0.26875
68 0.08 0.04675 0.26875
69 0.08 0.04675 0.26875
70 0.08 0.04675 0.27
71 0.08 0.04675 0.27
72 0.08 0.04675 0.27
73 0.08 0.04675 0.27125
74 0.08 0.04675 0.27125
75 0.08 0.04675 0.27125
76 0.08 0.04675 0.2725
77 0.08 0.04675 0.27375
78 0.08 0.04675 0.275
79 0.08 0.04675 0.275
