# ts fsi iter_u iter_p
0 0.42 0.967714 0.0685714
1 0.09 0.888889 0.251111
2 0.1 0.9 0.23
3 0.09 0.888889 0.254444
4 0.12 0.916667 0.199167
5 0.12 0.916667 0.201667
6 0.11 0.909091 0.220909
7 0.09 0.888889 0.264444
8 0.09 0.773778 0.265556
9 0.08 0.875 0.2925
10 0.09 0.888889 0.27
11 0.08 0.875 0.29875
12 0.08 0.84275 0.2975
13 0.08 0.74325 0.2975
14 0.08 0.645375 0.29875
15 0.08 0.74275 0.3
16 0.08 0.617625 0.30125
17 0.08 0.61925 0.3025
18 0.08 0.627 0.3075
19 0.08 0.575875 0.3075
20 0.11 0.909091 0.245455
21 0.15 0.933333 0.19
22 0.08 0.875 0.31875
23 0.12 0.916667 0.235
24 0.08 0.875 0.31875
25 0.08 0.875 0.32125
26 0.08 0.875 0.32125
27 0.08 0.734625 0.32
28 0.08 0.695375 0.325
29 0.08 0.554375 0.3275
30 0.31 0.967742 0.125161
31 0.09 0.888889 0.307778
32 0.08 0.875 0.33
33 0.08 0.875 0.32625
34 0.22 0.954545 0.185909
35 0.54 0.981481 0.124815
36 0.84 0.988095 0.089881
37 0.16 0.9375 0.230625
38 0.08 0.7385 0.33875
39 0.08 0.49325 0.33875
40 0.08 0.479 0.34125
41 0.08 0.4925 0.3425
42 0.08 0.490875 0.34625
43 0.08 0.4915 0.34625
44 0.08 0.492125 0.35
45 0.08 0.486125 0.35
46 0.08 0.48125 0.3525
47 0.08 0.48225 0.35375
48 0.08 0.4925 0.36
49 0.08 0.48175 0.36125
50 0.08 0.48975 0.3625
51 0.08 0.482625 0.36375
52 0.08 0.487125 0.36375
53 0.08 0.479375 0.36375
54 0.08 0.477125 0.365
55 0.08 0.492625 0.36625
56 0.08 0.491125 0.36625
57 0.08 0.48 0.36625
58 0.08 0.48275 0.36625
59 0.08 0.4805 0.36625
60 0.08 0.465375 0.36875
61 0.08 0.49275 0.3675
62 0.08 0.477625 0.3675
63 0.08 0.4915 0.36875
64 0.08 0.486125 0.36875
65 0.08 0.484875 0.36875
66 0.08 0.47975 0.3725
67 0.08 0.493875 0.3725
68 0.08 0.472875 0.3725
69 0.08 0.490375 0.37375
70 0.08 0.488125 0.375
71 0.08 0.47675 0.37625
72 0.08 0.47875 0.375
73 0.08 0.482 0.37625
74 0.08 0.490625 0.37625
75 0.08 0.478125 0.37875
76 0.08 0.477 0.37875
77 0.08 0.472875 0.38
78 0.08 0.486375 0.38125
79 0.08 0.4715 0.38125
