# ts fsi iter_u iter_p
0 0.44 0.968 0.114773
1 0.09 0.888889 0.562222
2 0.11 0.909091 0.464545
3 0.11 0.909091 0.454545
4 0.13 0.923077 0.394615
5 0.1 0.9 0.506
6 0.09 0.888889 0.601111
7 0.09 0.888889 0.582222
8 0.1 0.8695 0.529
9 0.09 0.840889 0.631111
10 0.09 0.888889 0.602222
11 0.09 0.798556 0.547778
12 0.09 0.825667 0.573333
13 0.09 0.718111 0.588889
14 0.09 0.714556 0.623333
15 0.09 0.558 0.621111
16 0.09 0.565444 0.67
17 0.09 0.574111 0.614444
18 0.09 0.622556 0.563333
19 0.09 0.561333 0.59
20 0.09 0.888889 0.605556
21 0.09 0.888889 0.604444
22 0.09 0.888889 0.543333
23 0.08 0.875 0.5975
24 0.09 0.888889 0.554444
25 0.09 0.852889 0.491111
26 0.09 0.888889 0.461111
27 0.09 0.681333 0.472222
28 0.09 0.605222 0.506667
29 0.08 0.573 0.5025
30 0.33 0.969697 0.157273
31 0.09 0.888889 0.431111
32 0.09 0.888889 0.421111
33 0.09 0.888889 0.422222
34 0.19 0.947368 0.274211
35 0.46 0.978261 0.151304
36 0.88 0.988636 0.095
37 0.17 0.941176 0.260588
38 0.08 0.745125 0.48375
39 0.08 0.4855 0.51375
40 0.08 0.486625 0.51625
41 0.08 0.4915 0.5225
42 0.08 0.489875 0.52875
43 0.08 0.46825 0.53
44 0.08 0.478375 0.53125
45 0.08 0.485 0.535
46 0.08 0.4915 0.53625
47 0.08 0.485125 0.53875
48 0.08 0.485125 0.53875
49 0.08 0.48275 0.54
50 0.08 0.47 0.54375
51 0.08 0.488125 0.5475
52 0.08 0.488375 0.54875
53 0.08 0.49475 0.5525
54 0.08 0.481625 0.5575
55 0.08 0.47175 0.5575
56 0.08 0.495 0.5575
57 0.08 0.476625 0.5625
58 0.08 0.470375 0.5675
59 0.08 0.476625 0.56875
60 0.08 0.4825 0.5725
61 0.08 0.484125 0.57375
62 0.08 0.48175 0.575
63 0.08 0.468125 0.57625
64 0.08 0.48975 0.5775
65 0.08 0.489375 0.57875
66 0.08 0.478375 0.57875
67 0.08 0.470875 0.58125
68 0.08 0.490375 0.58375
69 0.08 0.475375 0.5825
70 0.08 0.49225 0.585
71 0.08 0.46875 0.58875
72 0.08 0.49125 0.59
73 0.08 0.47075 0.5925
74 0.08 0.4795 0.59375
75 0.08 0.47925 0.595
76 0.08 0.476625 0.5975
77 0.08 0.474375 0.6
78 0.08 0.4815 0.60125
79 0.08 0.488125 0.6025
