# ts fsi iter_u iter_p
0 0.19 0.922105 0.213158
1 0.09 0.507556 0.562222
2 0.09 0.402222 0.557778
3 0.09 0.370111 0.548889
4 0.09 0.353778 0.558889
5 0.09 0.337111 0.555556
6 0.09 0.373667 0.601111
7 0.09 0.35 0.582222
8 0.09 0.345333 0.582222
9 0.09 0.345333 0.631111
10 0.09 0.343 0.603333
11 0.09 0.338556 0.547778
12 0.09 0.321889 0.573333
13 0.09 0.290667 0.588889
14 0.09 0.286778 0.623333
15 0.09 0.312111 0.621111
16 0.09 0.311556 0.67
17 0.09 0.293778 0.613333
18 0.09 0.297444 0.562222
19 0.08 0.322375 0.63875
20 0.08 0.35575 0.655
21 0.08 0.3245 0.655
22 0.08 0.327625 0.585
23 0.09 0.319444 0.555556
24 0.09 0.366778 0.554444
25 0.09 0.350889 0.488889
26 0.08 0.34725 0.485
27 0.08 0.34025 0.4975
28 0.08 0.334875 0.535
29 0.08 0.33025 0.5025
30 0.1 0.892 0.413
31 0.08 0.337875 0.45375
32 0.08 0.3445 0.4425
33 0.08 0.3305 0.4425
34 0.44 0.965818 0.146136
35 0.23 0.934478 0.20913
36 0.15 0.918533 0.287333
37 0.08 0.436125 0.45375
38 0.08 0.227625 0.48375
39 0.08 0.104625 0.51375
40 0.08 0.10475 0.51625
41 0.08 0.10475 0.5225
42 0.08 0.10475 0.5275
43 0.08 0.10475 0.53
44 0.08 0.10475 0.53125
45 0.08 0.10475 0.535
46 0.08 0.10475 0.53625
47 0.08 0.10475 0.5375
48 0.08 0.1045 0.53875
49 0.08 0.10475 0.54
50 0.08 0.10475 0.54375
51 0.08 0.10475 0.5475
52 0.08 0.10475 0.54875
53 0.08 0.10475 0.55125
54 0.08 0.10475 0.5575
55 0.08 0.10475 0.5575
56 0.08 0.10475 0.5575
57 0.08 0.10475 0.5625
58 0.08 0.10475 0.56625
59 0.08 0.10475 0.56875
60 0.08 0.10475 0.57125
61 0.08 0.10475 0.57375
62 0.08 0.10475 0.575
63 0.08 0.10475 0.57625
64 0.08 0.10475 0.5775
65 0.08 0.10475 0.5775
66 0.08 0.10475 0.58
67 0.08 0.10475 0.5825
68 0.08 0.10475 0.5825
69 0.08 0.10475 0.5825
70 0.08 0.10475 0.585
71 0.08 0.10475 0.5875
72 0.08 0.10475 0.59
73 0.08 0.10475 0.5925
74 0.08 0.10475 0.59375
75 0.08 0.10475 0.595
76 0.08 0.10475 0.5975
77 0.08 0.10475 0.59875
78 0.08 0.10475 0.60125
79 0.08 0.10475 0.6025
