# ts fsi iter_u iter_p
0 0.23 0.918348 0.0604348
1 0.09 0.411444 0.175556
2 0.09 0.488 0.176667
3 0.09 0.464 0.177778
4 0.09 0.339222 0.178889
5 0.09 0.378 0.18
6 0.09 0.368667 0.181111
7 0.09 0.314 0.183333
8 0.08 0.365 0.19875
9 0.08 0.328375 0.20125
10 0.08 0.34275 0.20375
11 0.08 0.322125 0.20375
12 0.09 0.319222 0.188889
13 0.08 0.314875 0.205
14 0.08 0.33525 0.2075
15 0.08 0.336125 0.2075
16 0.08 0.323125 0.2075
17 0.08 0.331875 0.20875
18 0.08 0.348125 0.21
19 0.08 0.318375 0.2125
20 0.08 0.3455 0.2125
21 0.08 0.3205 0.21125
22 0.08 0.324875 0.21125
23 0.08 0.3495 0.21125
24 0.08 0.456625 0.21125
25 0.08 0.41225 0.2125
26 0.08 0.36075 0.21375
27 0.08 0.319875 0.21625
28 0.08 0.33075 0.21625
29 0.08 0.326 0.2175
30 0.1 0.8745 0.192
31 0.08 0.334375 0.22
32 0.08 0.353875 0.22125
33 0.08 0.325125 0.2225
34 0.29 0.958621 0.112759
35 0.27 0.947778 0.114074
36 0.14 0.892357 0.165
37 0.09 0.398444 0.213333
38 0.08 0.228375 0.1975
39 0.08 0.1055 0.195
40 0.08 0.107375 0.1975
41 0.08 0.107375 0.1975
42 0.08 0.107375 0.1975
43 0.08 0.107375 0.19875
44 0.08 0.107375 0.2
45 0.08 0.107375 0.20125
46 0.08 0.107375 0.2025
47 0.08 0.107375 0.205
48 0.08 0.1075 0.20625
49 0.08 0.107375 0.20625
50 0.08 0.107375 0.2075
51 0.08 0.107375 0.20875
52 0.08 0.107375 0.20875
53 0.08 0.107375 0.20875
54 0.08 0.107375 0.20875
55 0.08 0.107375 0.20875
56 0.08 0.107375 0.20875
57 0.08 0.107375 0.20875
58 0.08 0.107375 0.21
59 0.08 0.107375 0.21
60 0.08 0.107375 0.21125
61 0.08 0.107375 0.21125
62 0.08 0.107375 0.21125
63 0.08 0.107375 0.2125
64 0.08 0.107375 0.2125
65 0.08 0.107375 0.2125
66 0.08 0.107375 0.2125
67 0.08 0.107375 0.21375
68 0.08 0.107375 0.21375
69 0.08 0.107375 0.215
70 0.08 0.107375 0.21625
71 0.08 0.107375 0.2175
72 0.08 0.107375 0.2175
73 0.08 0.107375 0.2175
74 0.08 0.107375 0.21875
75 0.08 0.107375 0.21875
76 0.08 0.107375 0.21875
77 0.08 0.107375 0.22
78 0.08 0.107375 0.22
79 0.08 0.107375 0.22
