# ts fsi iter_u iter_p
0 0.08 0.22625 0.14125
1 0.09 0.253 0.168889
2 0.08 0.311375 0.185
3 0.08 0.296 0.18375
4 0.08 0.25975 0.18625
5 0.08 0.266625 0.19
6 0.08 0.279 0.19125
7 0.08 0.258375 0.19125
8 0.08 0.263625 0.19375
9 0.08 0.2735 0.1975
10 0.08 0.274875 0.19875
11 0.08 0.263 0.19875
12 0.08 0.271375 0.20125
13 0.08 0.267125 0.20125
14 0.08 0.283625 0.20375
15 0.08 0.23225 0.20375
16 0.08 0.251375 0.20375
17 0.08 0.224375 0.205
18 0.08 0.22775 0.20625
19 0.08 0.24925 0.2075
20 0.08 0.294 0.21
21 0.08 0.24275 0.20875
22 0.08 0.207375 0.20875
23 0.08 0.218 0.20875
24 0.08 0.2135 0.20875
25 0.08 0.21875 0.21125
26 0.08 0.24575 0.2125
27 0.08 0.22375 0.21375
28 0.08 0.25125 0.21375
29 0.08 0.273625 0.21375
30 0.08 0.619 0.22
31 0.08 0.22725 0.21875
32 0.08 0.264625 0.22
33 0.08 0.219375 0.22
34 0.1 0.9 0.196
35 0.15 0.933333 0.169333
36 0.08 0.875 0.225
37 0.08 0.263 0.22375
38 0.08 0.233875 0.195
39 0.08 0.212125 0.1975
40 0.08 0.189375 0.19875
41 0.08 0.18525 0.20125
42 0.08 0.184125 0.2025
43 0.08 0.187375 0.2025
44 0.08 0.1885 0.205
45 0.08 0.1845 0.205
46 0.08 0.18175 0.2075
47 0.08 0.184 0.21
48 0.08 0.185875 0.21
49 0.08 0.187875 0.21
50 0.08 0.188375 0.20875
51 0.08 0.18275 0.20875
52 0.08 0.185 0.2075
53 0.08 0.18675 0.2075
54 0.08 0.18625 0.20875
55 0.08 0.18675 0.21125
56 0.08 0.18775 0.21125
57 0.08 0.18125 0.21125
58 0.08 0.183375 0.21125
59 0.08 0.18475 0.21125
60 0.08 0.185 0.2125
61 0.08 0.18625 0.2125
62 0.08 0.188 0.21375
63 0.08 0.18575 0.21375
64 0.08 0.18325 0.21375
65 0.08 0.184375 0.21375
66 0.08 0.1845 0.215
67 0.08 0.1845 0.215
68 0.08 0.1875 0.2175
69 0.08 0.18825 0.2175
70 0.08 0.188875 0.2175
71 0.08 0.182375 0.21875
72 0.08 0.188375 0.21875
73 0.08 0.180875 0.21875
74 0.08 0.182625 0.21875
75 0.08 0.18475 0.22
76 0.08 0.185 0.22
77 0.08 0.183625 0.22
78 0.08 0.184375 0.22125
79 0.08 0.18625 0.22125
