# ts fsi iter_u iter_p
0 0.08 0.01625 0.14125
1 0.09 0.0143333 0.171111
2 0.09 0.0144444 0.173333
3 0.09 0.014 0.173333
4 0.08 0.016375 0.18875
5 0.08 0.0165 0.19125
6 0.08 0.01675 0.19125
7 0.08 0.01675 0.195
8 0.08 0.01675 0.19625
9 0.08 0.016875 0.19625
10 0.08 0.01675 0.2
11 0.08 0.01675 0.2
12 0.08 0.01675 0.20125
13 0.08 0.01725 0.2
14 0.08 0.01725 0.2025
15 0.08 0.017625 0.2025
16 0.08 0.01775 0.205
17 0.08 0.017625 0.20625
18 0.08 0.0175 0.20625
19 0.08 0.0175 0.20625
20 0.08 0.01925 0.21
21 0.08 0.017625 0.21
22 0.08 0.01775 0.21125
23 0.08 0.018 0.21125
24 0.08 0.018 0.2125
25 0.08 0.01825 0.2125
26 0.08 0.01825 0.215
27 0.08 0.0185 0.215
28 0.08 0.0185 0.21625
29 0.08 0.0185 0.21625
30 0.08 0.01975 0.2175
31 0.08 0.01825 0.22125
32 0.08 0.0185 0.2225
33 0.08 0.0185 0.2225
34 0.08 0.019375 0.22
35 0.08 0.018375 0.22
36 0.08 0.016875 0.2225
37 0.08 0.0155 0.22375
38 0.08 0.0085 0.19375
39 0.08 0.00825 0.195
40 0.08 0.00825 0.195
41 0.08 0.00825 0.19625
42 0.08 0.00825 0.1975
43 0.08 0.00825 0.1975
44 0.08 0.00825 0.19875
45 0.08 0.00825 0.20125
46 0.08 0.00825 0.20125
47 0.08 0.00825 0.20125
48 0.08 0.00825 0.205
49 0.08 0.00825 0.205
50 0.08 0.00825 0.20625
51 0.08 0.00825 0.2075
52 0.08 0.00825 0.20875
53 0.08 0.00825 0.20875
54 0.08 0.00825 0.2075
55 0.08 0.00825 0.2075
56 0.08 0.00825 0.2075
57 0.08 0.00825 0.20875
58 0.08 0.00825 0.20875
59 0.08 0.00825 0.20875
60 0.08 0.00825 0.21
61 0.08 0.00825 0.20875
62 0.08 0.00825 0.21125
63 0.08 0.00825 0.21125
64 0.08 0.00825 0.21125
65 0.08 0.00825 0.21125
66 0.08 0.00825 0.21125
67 0.08 0.00825 0.2125
68 0.08 0.00825 0.21375
69 0.08 0.00825 0.21375
70 0.08 0.00825 0.21625
71 0.08 0.00825 0.21625
72 0.08 0.00825 0.2175
73 0.08 0.00825 0.2175
74 0.08 0.00825 0.2175
75 0.08 0.00825 0.21875
76 0.08 0.00825 0.21875
77 0.08 0.00825 0.21875
78 0.08 0.00825 0.21875
79 0.08 0.00825 0.22
