# du1dx1 du1dx2 du1dx3 du2dx1 du2dx2 du2dx3 du3dx1 du3dx2 du3dx3
 1.10000000e+01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 9.99627011e-01 4.55887243e-04 -2.73062392e-02 -9.29505158e-05 9.99911665e-01 1.32911428e-02 2.73098864e-02 -1.32836473e-02 9.99538751e-01
 9.97124057e-01 2.23760753e-03 -7.57536042e-02 5.41896321e-04 9.99327981e-01 3.66509515e-02 7.57847068e-02 -3.65865960e-02 9.96452758e-01
 9.89710449e-01 6.74719957e-03 -1.42925511e-01 3.16906981e-03 9.97608883e-01 6.90396533e-02 1.43049584e-01 -6.87822072e-02 9.87322553e-01
 9.74176901e-01 1.55721395e-02 -2.25248472e-01 9.31213402e-03 9.93998972e-01 1.08992333e-01 2.25593994e-01 -1.08275357e-01 9.68185828e-01
 9.47807891e-01 3.00567807e-02 -3.17422104e-01 2.02813866e-02 9.87847267e-01 1.54098805e-01 3.18196272e-01 -1.52493824e-01 9.35679842e-01
 9.09479983e-01 5.07229273e-02 -4.12641910e-01 3.68420566e-02 9.78791917e-01 2.01516865e-01 4.14112091e-01 -1.98478132e-01 8.88322918e-01
 8.60522396e-01 7.68553567e-02 -5.03581632e-01 5.85428538e-02 9.67083786e-01 2.47632158e-01 5.06037489e-01 -2.42574123e-01 8.27697924e-01
 8.04430320e-01 1.06627991e-01 -5.84399120e-01 8.38891436e-02 9.53510240e-01 2.89449191e-01 5.88093931e-01 -2.81866447e-01 7.58087617e-01
 7.45464108e-01 1.37852288e-01 -6.52134963e-01 1.11038087e-01 9.39025263e-01 3.25426027e-01 6.57231928e-01 -3.15005242e-01 6.84702776e-01
 6.87585312e-01 1.68481081e-01 -7.06286460e-01 1.38089935e-01 9.24613135e-01 3.54995382e-01 7.12851743e-01 -3.41620662e-01 6.12484869e-01
