"displacement:0","displacement:1","displacement:2","Result","vtkValidPointMask","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Time"
0,0,0,0,1,0.16803,-0.09999,0.98067,0
0.00090987,-0.00055422,-0.0020532,-0.0020532,1,0.16803,-0.09999,0.98067,1
0.002422,-0.0014693,-0.0051152,-0.0051152,1,0.16803,-0.09999,0.98067,2
0.0043483,-0.0026245,-0.0091148,-0.0091148,1,0.16803,-0.09999,0.98067,3
0.0065751,-0.0039546,-0.013965,-0.013965,1,0.16803,-0.09999,0.98067,4
0.0090122,-0.0054075,-0.0196,-0.0196,1,0.16803,-0.09999,0.98067,5
0.011597,-0.006943,-0.025964,-0.025964,1,0.16803,-0.09999,0.98067,6
0.014282,-0.0085354,-0.033017,-0.033017,1,0.16803,-0.09999,0.98067,7
0.017035,-0.010164,-0.040723,-0.040723,1,0.16803,-0.09999,0.98067,8
0.019828,-0.011815,-0.049056,-0.049056,1,0.16803,-0.09999,0.98067,9
0.022643,-0.013476,-0.057987,-0.057987,1,0.16803,-0.09999,0.98067,10
0.025465,-0.01514,-0.0675,-0.0675,1,0.16803,-0.09999,0.98067,11
0.028284,-0.0168,-0.077576,-0.077576,1,0.16803,-0.09999,0.98067,12
0.031092,-0.018451,-0.088198,-0.088198,1,0.16803,-0.09999,0.98067,13
0.033883,-0.02009,-0.099352,-0.099352,1,0.16803,-0.09999,0.98067,14
0.03665,-0.021714,-0.11103,-0.11103,1,0.16803,-0.09999,0.98067,15
0.039392,-0.023321,-0.12321,-0.12321,1,0.16803,-0.09999,0.98067,16
0.042104,-0.024909,-0.13589,-0.13589,1,0.16803,-0.09999,0.98067,17
0.044785,-0.026479,-0.14906,-0.14906,1,0.16803,-0.09999,0.98067,18
0.047434,-0.028027,-0.16271,-0.16271,1,0.16803,-0.09999,0.98067,19
0.050047,-0.029552,-0.17682,-0.17682,1,0.16803,-0.09999,0.98067,20
0.052622,-0.031055,-0.1914,-0.1914,1,0.16803,-0.09999,0.98067,21
0.055162,-0.032536,-0.20644,-0.20644,1,0.16803,-0.09999,0.98067,22
0.057668,-0.033993,-0.22192,-0.22192,1,0.16803,-0.09999,0.98067,23
0.060134,-0.035428,-0.23784,-0.23784,1,0.16803,-0.09999,0.98067,24
0.062564,-0.036839,-0.2542,-0.2542,1,0.16803,-0.09999,0.98067,25
0.064955,-0.038226,-0.27098,-0.27098,1,0.16803,-0.09999,0.98067,26
0.067309,-0.039591,-0.28819,-0.28819,1,0.16803,-0.09999,0.98067,27
0.069626,-0.040933,-0.30581,-0.30581,1,0.16803,-0.09999,0.98067,28
0.071905,-0.042251,-0.32384,-0.32384,1,0.16803,-0.09999,0.98067,29
